severity,code,record_type,record_id,record_ref,stage,owner,retry_status,message
critical,attribute_needs_decision,product,3154,modena-volley-jersey,transform,client,needs-decision,attribute 'Number' is not clearly variant-defining (condition vs personalisation); needs a client decision before load
critical,attribute_needs_decision,product,3173,modena-volley-shorts,transform,client,needs-decision,attribute 'Number' is not clearly variant-defining (condition vs personalisation); needs a client decision before load
critical,attribute_needs_decision,product,6718,provolley-jersey,transform,client,needs-decision,attribute 'Number' is not clearly variant-defining (condition vs personalisation); needs a client decision before load
critical,attribute_needs_decision,product,6718,provolley-jersey,transform,client,needs-decision,attribute 'Condition' is not clearly variant-defining (condition vs personalisation); needs a client decision before load
critical,attribute_needs_decision,product,6748,modena-jersey,transform,client,needs-decision,attribute 'Condition' is not clearly variant-defining (condition vs personalisation); needs a client decision before load
critical,attribute_needs_decision,product,6748,modena-jersey,transform,client,needs-decision,attribute 'Number' is not clearly variant-defining (condition vs personalisation); needs a client decision before load
critical,attribute_needs_decision,product,6758,provolley-womens-jersey,transform,client,needs-decision,attribute 'Condition' is not clearly variant-defining (condition vs personalisation); needs a client decision before load
critical,attribute_needs_decision,product,6763,inner-west-jersey,transform,client,needs-decision,attribute 'Condition' is not clearly variant-defining (condition vs personalisation); needs a client decision before load
high,bundle_product,product,3593,hoodie-pants-winter-2024,transform,client,needs-decision,Easy Product Bundles product has no Shopify equivalent; rebuild manually or with a bundles app
high,duplicate_sku,variant,PROT00CEU,PROT00CEU,transform,client,needs-decision,"SKU used by 8 variants; left unchanged, client must supply unique SKUs"
high,duplicate_sku,variant,PROT00SEM-1,PROT00SEM-1,transform,client,needs-decision,"SKU used by 19 variants; left unchanged, client must supply unique SKUs"
high,duplicate_sku,variant,PROT00SLM,PROT00SLM,transform,client,needs-decision,"SKU used by 8 variants; left unchanged, client must supply unique SKUs"
high,duplicate_sku,variant,PROT00STMS,PROT00STMS,transform,client,needs-decision,"SKU used by 2 variants; left unchanged, client must supply unique SKUs"
high,duplicate_sku,variant,PROT03SPU,PROT03SPU,transform,client,needs-decision,"SKU used by 15 variants; left unchanged, client must supply unique SKUs"
high,duplicate_sku,variant,PV-BRIONE-FZT-NAVY,PV-BRIONE-FZT-NAVY,transform,client,needs-decision,"SKU used by 7 variants; left unchanged, client must supply unique SKUs"
high,option_value_collision,product,6253,provolley-brione-track-pants,transform,client,needs-decision,normalising 'Size' would merge distinct variants; raw source values kept
